order_id,order_purchase_timestamp,customer_unique_id,customer_state,product_category_name_english,revenue,delivery_days,late,review_score
e481f51cbdc54678b7cc49136f2d6af7,2017-10-02 10:56:33,7c396fd4830fd04220f754e42b4e5bff,SP,housewares,29.99,8.0,False,4.0
53cdb2fc8bc7dce0b6741e2150273451,2018-07-24 20:41:37,af07308b275d755c9edb36a90c618231,BA,perfumery,118.7,13.0,False,4.0
47770eb9100c2d0c44946d9cf07ec65d,2018-08-08 08:38:49,3a653a41f6f9fc3d2a113cf8398680e8,GO,auto,159.9,9.0,False,5.0
949d5b44dbf5de918fe9c16f97b45f8a,2017-11-18 19:28:06,7c142cf63193a1473d2e66489a9ae977,RN,pet_shop,45.0,13.0,False,5.0
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-13 21:18:39,72632f0f9dd73dfee390c9b22eb56dd6,SP,stationery,19.9,2.0,False,5.0
a4591c265e18cb1dcee52889e2d8acc3,2017-07-09 21:57:05,80bb27c7c16e8f973207a5086ab329e2,PR,auto,147.9,16.0,False,4.0
6514b8ad8028c9f2cc2374ded245783f,2017-05-16 13:10:30,932afa1e708222e5821dac9cd5db4cae,RJ,auto,59.99,9.0,False,5.0
76c6e866289321a7c93b82b54852dc33,2017-01-23 18:29:09,39382392765b6dc74812866ee5ee92a7,RS,furniture_decor,19.9,9.0,False,1.0
e69bfb5eb88e0ed6a785585b27e16dbf,2017-07-29 11:55:02,299905e3934e9e181bfb2e164dd4b4f8,SP,office_furniture,149.99,18.0,False,5.0
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,f2a85dec752b8517b5e58a06ff3cd937,RJ,garden_tools,198.0,12.0,False,1.0
34513ce0c4fab462a55830c0989c7edb,2017-07-13 19:58:11,782987b81c92239d922aa49d6bd4200b,SP,computers_accessories,98.0,5.0,False,4.0
82566a660a982b15fb86e904c8d32918,2018-06-07 10:06:19,e97109680b052ee858d93a539597bba7,MG,perfumery,31.9,12.0,False,5.0
5ff96c15d0b717ac6ad1f3d77225a350,2018-07-25 17:44:10,e2dfa3127fedbbca9707b36304996dab,SP,bed_bath_table,19.9,4.0,False,5.0
432aaf21d85167c2c86ec9448c4e42cc,2018-03-01 14:14:28,04cf8185c71090d28baa4407b2e6d600,SP,toys,38.25,11.0,False,4.0
dcb36b511fcac050b97cd5c05de84dc3,2018-06-07 19:03:12,ccafc1c3f270410521c3c6f3b249870f,GO,perfumery,132.4,13.0,False,5.0
403b97836b0c04a622354cf531062e5f,2018-01-02 19:00:43,6e26bbeaa107ec34112c64e1ee31c0f5,RJ,construction_tools_construction,1299.0,17.0,False,
116f0b09343b49556bbad5f35bee0cdf,2017-12-26 23:41:31,6087cfc70fd833cf2db637a5e6e9d76b,SC,telephony,27.99,12.0,False,5.0
